"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Petrobras","PBR","95907479552","14.705","Brazil"
"2","Vale","VALE","59555061760","13.315","Brazil"
"3","Itaú Unibanco","ITUB","52677578752","5.375","Brazil"
"4","Ambev","ABEV","44136161280","2.7301","Brazil"
"5","Banco Santander Brasil","BSBR","39391334400","5.28","Brazil"
"6","Nu Holdings","NU","32872171520","6.785","Brazil"
"7","Banco Bradesco","BBD","30815109120","2.9","Brazil"
"8","WEG ON","WEGE3.SA","30100618401","7.17","Brazil"
"9","BTG Pactual","BPAC3.SA","29309887053","2.84","Brazil"
"10","Banco do Brasil","BBAS3.SA","26982243547","9.45","Brazil"
"11","Klabin","KLBN11.SA","25783880935","4.5","Brazil"
"12","Copel","ELP","22809143296","8.335","Brazil"
"13","Itaúsa","ITSA3.SA","17915288148","1.86","Brazil"
"14","Centrais Electricas Brasileiras","EBR","15734421504","6.82","Brazil"
"15","B3","B3SA3.SA","14720135911","2.53","Brazil"
"16","Telefonica Brasil","VIV","14212646912","8.45","Brazil"
"17","XP Inc.","XP","13651547136","24.96","Brazil"
"18","Rede D'Or Sao Luiz","RDOR3.SA","12883542630","5.71","Brazil"
"19","Localiza","RENT3.SA","12882877808","12.21","Brazil"
"20","Suzano","SUZ","12596950016","9.77","Brazil"
"21","BB Seguridade Participações","BBSE3.SA","12584845876","6.31","Brazil"
"22","RaiaDrogasil","RADL3.SA","9310108401","5.43","Brazil"
"23","Gerdau","GGB","8813614080","5.02","Brazil"
"24","Rumo","RAIL3.SA","8318839882","4.49","Brazil"
"25","JBS","JBSS3.SA","8229741299","3.71","Brazil"
"26","CPFL Energia","CPFE3.SA","8008545679","6.95","Brazil"
"27","Petro Rio","PRIO3.SA","7994625089","9.56","Brazil"
"28","Sabesp","SBS","7981993472","11.545","Brazil"
"29","TIM S.A.","TIMB","7043945984","14.55","Brazil"
"30","Equatorial Energia","EQTL3.SA","7032019440","6.3","Brazil"
"31","ENGIE Brasil","EGIE3.SA","6801879849","8.34","Brazil"
"32","Hapvida","HAPV3.SA","6596439512","0.88","Brazil"
"33","Cemig","CIG","6529634816","2.4025","Brazil"
"34","Cosan","CSAN","6493545984","13.915","Brazil"
"35","CSN Mineração","CMIN3.SA","4679489932","0.85","Brazil"
"36","Atacadão","CRFB3.SA","4330838163","2.05","Brazil"
"37","Ultrapar Participacoes","UGP","4059791104","3.655","Brazil"
"38","Natura&Co","NTCO","4045881088","5.88","Brazil"
"39","Braskem","BAK","3883226624","9.745","Brazil"
"40","StoneCo","STNE","3608984576","11.525","Brazil"
"41","Magazine Luíza","MGLU3.SA","3402959705","0.51","Brazil"
"42","TOTVS","TOTS3.SA","3384199444","5.6","Brazil"
"43","Assaí Atacadista","ASAI","3309737728","12.245","Brazil"
"44","Comgás","CGAS5.SA","3287542974","26.04","Brazil"
"45","Companhia Siderúrgica Nacional","SID","3264409600","2.365","Brazil"
"46","BRF","BRFS","3004465664","1.7898","Brazil"
"47","Lojas Renner","LREN3.SA","2993604137","3.13","Brazil"
"48","Multiplan Empreendimentos Imobiliários","MULT3.SA","2949075181","5.05","Brazil"
"49","PagSeguro","PAGS","2808238592","8.66","Brazil"
"50","Embraer","ERJ","2717220096","14.795","Brazil"
"51","Aliansce Sonae Shopping Centers","ALSO3.SA","2583215647","4.58","Brazil"
"52","Bradespar","BRAP3.SA","1785412578","4.28","Brazil"
"53","Diagnosticos da America","DASA3.SA","1767717816","2.37","Brazil"
"54","Usiminas","USIM5.SA","1718156424","1.38","Brazil"
"55","Unipar Carbocloro","UNIP6.SA","1623896238","16.17","Brazil"
"56","3R Petroleum","RRRP3.SA","1568290963","6.53","Brazil"
"57","Arezzo Indústria e Comércio","ARZZ3.SA","1515253573","13.67","Brazil"
"59","Afya","AFYA","1484569216","15.84","Brazil"
"60","Grendene","GRND3.SA","1266826920","1.38","Brazil"
"61","Dexco","DXCO3.SA","1244514924","1.54","Brazil"
"62","OdontoPrev","ODPV3.SA","1168806050","2.12","Brazil"
"63","Banco de Brasília","BSLI3.SA","1058995589","2.99","Brazil"
"64","Azul","AZUL","947422720","8.1766","Brazil"
"65","Arco Platform","ARCE","910849536","13.73","Brazil"
"66","Locaweb","LWSA3.SA","823080618","1.4","Brazil"
"67","CI&amp;T","CINT","800488768","5.98","Brazil"
"68","Iguatemi","IGTI3.SA","677005825","0.55","Brazil"
"69","GOL Airlines","GOL","588613056","2.795","Brazil"
"70","Vinci Partners","VINP","551454464","10.175","Brazil"
"71","Vitru","VTRU","549388096","16.25","Brazil"
"72","Brasil Agro","LND","516560128","5.206","Brazil"
"73","Celesc (Centrais Elétricas de Santa Catarina)","CLSC4.SA","492470598","12.97","Brazil"
"74","Via S.A.","VIIA3.SA","379285683","0.24","Brazil"
"75","Vasta Platform","VSTA","339648512","4.105","Brazil"
"76","GPA","CBD","261965344","0.8593","Brazil"
"77","Americanas","AMER3.SA","175566577","0.19","Brazil"
"78","Allied Tecnologia","ALLD3.SA","122405168","1.31","Brazil"
"79","Méliuz","CASH3.SA","109435305","1.26","Brazil"
"80","Semantix","STIX","103808504","1.32","Brazil"
